"rm_id","rm_name","dt","n_baseline","n_crisis","percent_change","pct_estimated"
"79688334B17077666187877","Nuwakot","2026-08-26_0000",6491.0,3047.0,-53.06,0.0
"79688334B17077666187877","Nuwakot","2026-08-26_0800",3136.0,1412.0,-54.97,0.0
"79688334B17077666187877","Nuwakot","2026-08-26_1600",5271.0,2755.0,-47.73,0.0
"79688334B17077666187877","Nuwakot","2026-08-27_0000",7528.0,5641.0,-25.07,0.0
"79688334B17077666187877","Nuwakot","2026-08-27_0800",4791.0,3876.0,-19.1,0.0
"79688334B17077666187877","Nuwakot","2026-08-27_1600",6247.0,4758.0,-23.83,0.0
"79688334B17077666187877","Nuwakot","2026-08-28_0000",7669.0,7120.0,-7.17,0.0
"79688334B17077666187877","Nuwakot","2026-08-28_0800",5030.0,4724.0,-6.08,0.0
"79688334B17077666187877","Nuwakot","2026-08-28_1600",6841.0,6640.0,-2.94,0.0
"79688334B17077666187877","Nuwakot","2026-08-29_0000",8523.0,8057.0,-5.47,0.0
"79688334B17077666187877","Nuwakot","2026-08-29_0800",5074.0,4585.0,-9.64,0.0
"79688334B17077666187877","Nuwakot","2026-08-29_1600",7149.0,6701.0,-6.27,0.0
"79688334B45086844065391","Sindhupalchok","2026-08-26_0000",5149.0,5708.0,10.85,0.0
"79688334B45086844065391","Sindhupalchok","2026-08-26_0800",3037.0,3237.0,6.59,0.0
"79688334B45086844065391","Sindhupalchok","2026-08-26_1600",4383.0,4862.0,10.92,0.0
"79688334B45086844065391","Sindhupalchok","2026-08-27_0000",5192.0,5481.0,5.55,0.0
"79688334B45086844065391","Sindhupalchok","2026-08-27_0800",3089.0,2988.0,-3.26,0.0
"79688334B45086844065391","Sindhupalchok","2026-08-27_1600",4335.0,4129.0,-4.74,0.0
"79688334B45086844065391","Sindhupalchok","2026-08-28_0000",5118.0,5676.0,10.91,0.0
"79688334B45086844065391","Sindhupalchok","2026-08-28_0800",3179.0,3277.0,3.09,0.0
"79688334B45086844065391","Sindhupalchok","2026-08-28_1600",4305.0,4633.0,7.6,0.0
"79688334B45086844065391","Sindhupalchok","2026-08-29_0000",5202.0,5514.0,6.01,0.0
